Ranking,Country,Average bedtime,Average wake-up,Average time in bed
1,Slovakia,1:03 AM,7:18 AM,06:57
2,China,12:32 AM,7:42 AM,06:43
3,Hungary,11:59 PM,7:22 AM,07:02
4,Czech Republic,11:58 PM,7:15 AM,07:00
5,Poland,12:55 AM,7:25 AM,06:50
6,Switzerland,12:19 AM,7:13 AM,07:08
7,Taiwan,12:37 AM,7:56 AM,06:21
8,Austria,11:55 PM,7:20 AM,07:07
9,Ukraine,12:03 AM,7:51 AM,06:52
10,Germany,11:59 PM,7:25 AM,07:07
11,Russia,1:05 AM,8:06 AM,06:45
12,Portugal,12:41 AM,8:22 AM,06:59
13,Italy,12:35 AM,7:52 AM,06:54
14,Romania,11:09 PM,8:01 AM,06:58
15,Colombia,11:41 PM,6:31 AM,06:37
16,France,12:19 AM,7:51 AM,07:14
17,Hong Kong,12:55 AM,7:57 AM,06:39
18,Netherlands,12:07 AM,7:47 AM,07:24
19,Thailand,12:22 AM,7:24 AM,06:42
20,Belgium,12:06 AM,7:40 AM,07:18
21,South Korea,12:16 AM,7:38 AM,06:02
22,Denmark,11:47 PM,7:19 AM,07:14
23,Greece,1:05 AM,8:25 AM,06:54
24,Spain,12:32 AM,8:05 AM,06:56
25,India,12:26 AM,7:36 AM,06:35
26,Finland,12:03 AM,7:44 AM,07:23
27,Israel,12:44 AM,7:54 AM,06:36
28,Turkey,12:59 AM,8:02 AM,06:35
29,Brazil,12:32 AM,7:31 AM,06:40
30,Singapore,11:52 PM,7:38 AM,06:34
31,Chile,12:47 AM,7:40 AM,06:39
32,Mexico,12:20 AM,7:09 AM,06:37
33,Sweden,11:50 PM,7:21 AM,07:15
34,Costa Rica,11:43 PM,6:38 AM,06:39
35,Japan,12:49 AM,7:09 AM,05:52
36,United Arab Emirates,1:05 AM,7:43 AM,06:45
37,Indonesia,12:10 AM,6:55 AM,06:25
38,South Africa,12:20 AM,6:24 AM,07:04
39,Qatar,12:06 AM,7:32 AM,06:26
40,Norway,12:16 AM,7:43 AM,07:09
41,Canada,11:57 PM,7:33 AM,07:11
42,Philippines,12:39 AM,7:28 AM,06:08
43,Kuwait,12:14 AM,8:01 AM,06:15
44,United Kingdom,12:28 AM,7:33 AM,07:22
45,Saudi Arabia,12:39 AM,8:27 AM,06:02
46,Australia,11:33 PM,7:13 AM,07:20
47,New Zealand,11:29 PM,7:11 AM,07:27
48,United States,11:54 PM,7:20 AM,07:06
49,Ireland,12:16 AM,7:50 AM,07:17
50,Malaysia,12:35 AM,7:41 AM,06:27
